epoch,train_loss,valid_loss,dice,time
0,0.9509769678115845,0.9395076036453247,0.5010112061534381,00:39
1,0.8790236711502075,0.9001938700675964,0.5549198447049207,00:39
2,0.7912372350692749,0.8495317697525024,0.5000878411831409,00:40
3,0.6526175141334534,0.7502087354660034,0.6444916470520696,00:40
4,0.5270792841911316,0.6484122276306152,0.6398588912575343,00:40
5,0.4309276342391968,0.5254083871841431,0.6730939160940612,00:40
6,0.3544332981109619,0.45924273133277893,0.666842851308171,00:40
7,0.3224782943725586,0.389031320810318,0.7155920665946773,00:40
8,0.30692580342292786,0.3912273049354553,0.6744730077120823,00:39
9,0.29025596380233765,0.36706778407096863,0.6985148019497691,00:39
10,0.266764372587204,0.39687010645866394,0.6585257652525158,00:40
11,0.27538856863975525,0.4842439591884613,0.5700002884033032,00:40
12,0.2729574143886566,0.3671109080314636,0.6875903156293574,00:40
13,0.24965813755989075,0.3420015275478363,0.7305407214171572,00:40
14,0.23740525543689728,0.3769732713699341,0.6826726783142338,00:40
15,0.24693448841571808,0.36033737659454346,0.6697022767075307,00:39
16,0.22673039138317108,0.3552362024784088,0.7081587979353026,00:39
17,0.22965388000011444,0.34642261266708374,0.6992496617327484,00:40
18,0.21732278168201447,0.3255557715892792,0.7227542698002216,00:39
19,0.21165689826011658,0.35542839765548706,0.7046940634303503,00:40
20,0.2178846001625061,0.3361555337905884,0.7281775572098153,00:39
21,0.20875048637390137,0.3592030704021454,0.704512988730755,00:40
22,0.22175876796245575,0.33914002776145935,0.7215191605215273,00:40
23,0.23194408416748047,0.3492054343223572,0.7176795801450262,00:40
24,0.20045962929725647,0.34024208784103394,0.7181655911025676,00:39
25,0.21371039748191833,0.3397811949253082,0.7164956264205524,00:40
