epoch,train_loss,valid_loss,dice,time
0,1.1519761085510254,1.0064562559127808,0.5457559602609515,05:12
1,1.0860875844955444,0.945318341255188,0.6221737493091795,05:11
2,1.0188359022140503,0.8770895600318909,0.6535553963356681,05:11
3,0.9200706481933594,0.7987534403800964,0.6791240574320835,05:11
4,0.7724011540412903,0.6745421886444092,0.7269555493430249,05:11
5,0.5823082327842712,0.505909264087677,0.7514996593738508,05:11
6,0.4660172164440155,0.4926106333732605,0.6650943396226415,05:11
7,0.40382423996925354,0.4645775258541107,0.6673190127828774,05:10
8,0.3677140474319458,0.3441821336746216,0.7595739103495937,05:10
9,0.3640463054180145,0.32471293210983276,0.7462421037269714,05:12
10,0.34943872690200806,0.3115837872028351,0.7662892857370396,05:11
11,0.3496173918247223,0.2970026135444641,0.7640854129148443,05:10
12,0.3452315330505371,0.3175700604915619,0.7570194247433929,05:10
13,0.3372049331665039,0.3611496090888977,0.7135021693669021,05:10
14,0.3287813067436218,0.326926052570343,0.7635012164984003,05:10
15,0.307797372341156,0.3294038772583008,0.733242036490207,05:09
16,0.31593406200408936,0.3252643644809723,0.7508344493314209,05:10
17,0.3265429735183716,0.3451453447341919,0.7415430145094332,05:10
18,0.3051055371761322,0.2981175482273102,0.7533658317776737,05:11
19,0.287097692489624,0.2892210781574249,0.7525957847956366,05:11
20,0.26723772287368774,0.2902728021144867,0.7584140094934163,05:13
21,0.287914514541626,0.3169408440589905,0.7401812265050777,05:11
22,0.2852807343006134,0.29416322708129883,0.7543317462150285,05:10
23,0.2994435429573059,0.2837343215942383,0.7591138512016193,05:10
24,0.29191166162490845,0.2933485507965088,0.7537321998879158,05:10
25,0.2817249894142151,0.2934279143810272,0.7543050388907677,05:09
