epoch,train_loss,valid_loss,dice,time
0,1.1614350080490112,0.9208084940910339,0.5043066226778558,00:39
1,1.1071070432662964,0.8748475909233093,0.5435528756957329,00:39
2,1.0279946327209473,0.8375793695449829,0.5819725199625926,00:38
3,0.9414728283882141,0.7686591744422913,0.434240861653262,00:39
4,0.8094154596328735,0.698992133140564,0.44511519504833225,00:39
5,0.6428905129432678,0.5624340176582336,0.6095151886265009,00:39
6,0.4838508069515228,0.46777084469795227,0.665064452698274,00:39
7,0.41996610164642334,0.40800803899765015,0.6696809846772168,00:39
8,0.3757314085960388,0.5936924815177917,0.409149665598831,00:39
9,0.3700277805328369,0.3734644055366516,0.6997354497354498,00:39
10,0.3539469838142395,0.33212199807167053,0.6980577237248139,00:39
11,0.369594544172287,0.3255985975265503,0.7100316202786754,00:39
12,0.3361927568912506,0.3495125472545624,0.7010660013608528,00:39
13,0.3165518045425415,0.35609227418899536,0.6880358384181664,00:39
14,0.3071692883968353,0.4035686254501343,0.6461418211819879,00:39
15,0.318314790725708,0.34125909209251404,0.7168782048950795,00:39
16,0.3012564182281494,0.32722193002700806,0.7051561365286856,00:39
17,0.3030749261379242,0.5102062225341797,0.4852948969318001,00:39
18,0.3013916611671448,0.31917867064476013,0.7169949208901232,00:39
19,0.28365272283554077,0.33244937658309937,0.6953181272509004,00:39
20,0.2844131886959076,0.3496009409427643,0.68254424506221,00:39
21,0.2929826080799103,0.31759241223335266,0.7142161818113745,00:39
22,0.2879529297351837,0.32884690165519714,0.7115590985742757,00:39
23,0.27746903896331787,0.3486506938934326,0.6865020576131687,00:39
24,0.2875460088253021,0.3726707100868225,0.6643317814889164,00:39
